0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
RTDB name,NDB Placeholder Ratio,Prefix Table,Altkey Number,rtdb overheader,TODO Log Impact,Mate Log Impact,Updated Times,Default(M),Counter(M),Default(G),Counter(G),SP285,SP286,SP287,SP288,SP289,SP2810,SP2811,SP2812,SP2813,SP2814,SP2815,SP2816,SP2817,SP2818,SP2819,SP311,SP312,SP173,NDB,SP179,NDB,SP183,NDB
CIR,0.15,0,0,1.3,0,0,1,0,0,0,0,227,227,227,227,227,227,227,227,227,227,227,232,232,232,232,266,266,266,702,266,702,266,702
SMSRTDB,0.2,0,0,1.3,550,53,1,0,0,0,0,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,978,631,978,631,978
XBRTDB,0.2,0,0,1.3,352,352,1,0,0,0,0,334,334,334,334,334,342,342,334,334,334,334,334,334,334,334,334,334,334,1004,334,1004,334,1004
SIMIDX,0,0,0,1.3,280,280,1,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,368,300,368,300,368
Session,0,0,0,1.3,1184,1184,1,0,0,0,0,1180,1180,1180,1180,1180,1180,1204,1204,1204,1204,1204,1204,1204,1204,1204,1238,1238,1238,1570,1238,1570,1238,1570
SIME,0,0,0,1.3,0,0,1,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,16,64,16,64
GNMDNDB,0.2,0,0,1.3,0,0,1,0,0,0,0,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,873,337,873,337,873
GNRTDB,0.2,0,0,1.3,388,0,1,0,0,0,0,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,1058,388,1058,388,1058
GTMDB,0.4,0,0,1.3,0,0,1,0,0,1,0,,,,,,348,348,348,348,348,348,348,348,348,348,348,348,348,644,348,644,348,644
FSNRTDB,0.3,0,0,1.3,0,0,1,0,0,0,0,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,289,540,289,540,289,540
CLIINFO,0,0,0,1.3,51,0,1,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,133,44,133,44,133
CUIRTDB,0,0,0,1.3,0,0,1,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,76,20,76,20,76
ID2MDN,0,0,0,1.3,0,0,1,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,143,59,143,59,143
HOC,0,0,0,1.3,150,0,1,0,0,0,0,,,,,136,136,136,136,136,136,136,136,136,136,136,136,136,136,327,136,327,136,327
GCUPL,0.2,0,0,1.3,0,0,1,0,0,0,0,,,,,423,423,423,423,423,423,423,423,423,423,423,423,423,423,868,423,868,423,868
HTID,0.2,0,0,1.3,0,0,1,0,0,0,0,,,,,,463,463,656,656,656,656,656,656,656,656,656,656,656,1466,714,1626,714,1626
MDNCLI,0,0,0,1.3,52,0,1,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,97,32,97,32,97
GCIPL,0.1,1,1,1.3,0,0,1,0,0,0,0,,,,,,,,,162,162,162,234,234,234,234,234,258,258,532,258,532,258,532
HTRTDB,0.15,1,1,1.3,0,0,1,0,0,0,0,,,,,,,,,364,364,364,362,362,362,362,362,362,362,776,362,776,362,776
HTSIDB,0,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,74,74,74,50,50,50,50,50,50,50,156,50,156,50,156
NGTMDB,0.1,0,0,1.3,0,0,1,0,0,0,0,,,,,,,,,91,91,91,91,91,91,91,91,149,149,466,149,466,149,466
